id,section,difficulty,question_no,type,question,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,choice_G,choice_H,choice_I,answer,source_answer,validation_note,validation_source,source_file
S040Q03,40,hard,3,TC2,Memory-prompt technology such as online birthday reminders does more than enhance our recall abilities; it induces us to (i)_____ ever more behaviors to automated processes. Witness the (ii)_____ a program that allows us to create computer greeting cards for the entire year in one sitting.,delegate,ascribe,liken,controversy over,popularity of,sophistication of,,,,A|E,A|E,,,TCSE_1-50.pdf
S040Q04,40,hard,4,TC2,"While people complain about their hectic lives and demanding schedules, one might be justified in suspecting that they are being somewhat (i)_____: compulsive busyness seems to be, for many, a source of (ii)_____.",disingenuous,guarded,dilatory,pride,despair,irritation,,,,A|D,A|D,,,TCSE_1-50.pdf
S040Q05,40,hard,5,TC3,"Applications of the Endangered Species Act (ESA) have fared best in contexts in which habitat condition is closely linked to species condition and the cause of habitat degradation is easily identified. The achievements of the ESA in those contexts, however, have (i)_____ that other uses of the act can (ii)_____ that record even where such favorable conditions do not (iii)_____.",quelled the conviction,presaged the uncertainty,fostered the misconception,mitigate,duplicate,elucidate,vary,pertain,diminish,C|E|H,C|E|H,,,TCSE_1-50.pdf
S040Q06,40,hard,6,TC3,"Scientific papers often (i)_____ what actually happened in the course of the investigations they describe. Misunderstandings , blind alleys, and mistakes of various sorts will fail to appear in the final written accounts because (ii)_____ is a desirable attribute when transmitting results in a scientific report and would be poorly served by (iii)_____.",amplify,misrepresent,particularize,transparency,efficiency,exhaustiveness,a comprehensive historical account,a purely quantitative analysis,an overly superficial discussion,B|E|G,B|E|G,,,TCSE_1-50.pdf
S040Q07,40,hard,7,SE,"In a number of instances, investors hoping to tap into the region’s meteoric growth have instead faced problems ranging from unpredictable management practices to outright _____.",malfeasance,incompetence,fraudulence,capriciousness,hysteria,impulsiveness,,,,A|C,A|C,,,TCSE_1-50.pdf
S040Q08,40,hard,8,SE,"To call Kermode the finest English critic of his generation would be a _____ compliment, since not many of its population are professionally engaged in literary criticism.",sincere,backhanded,paltry,heartfelt,meager,plausible,,,,C|E,C|E,,,TCSE_1-50.pdf
S040Q09,40,hard,9,SE,"Even though the original settlement may not hold up, it at least proves that the deadlock can be broken and that a hitherto _____ party is ready to bargain.",implacable,unyielding,impeccable,flawless,unqualified,capricious,,,,A|B,A|B,,,TCSE_1-50.pdf
S040Q10,40,hard,10,SE,In sharp contrast to the novel’s scenic realism and precisely characterized figure is its persistent philosophical _____.,naturalism,abstraction,generality,impartiality,sincerity,objectivity,,,,B|C,B|C,,,TCSE_1-50.pdf
S041Q01,41,hard,1,TC1,"Many creative photographers were delighted to find in instant photography a mode that encouraged them to stop viewing photography as _____ and start viewing it as something they could handle with spontaneity, even derision.",sacrosanct,ephemeral,malleable,egalitarian,autonomous,,,,,A,A,,,TCSE_1-50.pdf
S041Q02,41,hard,2,TC1,"Consolidating memory is not instantaneous or even _____: every memory must be encoded and moved from short-term to long-term storage, and some of these memories are, for whatever reason, more vividly imprinted than others.",salutary,deliberate,sequential,momentary,inevitable,,,,,E,E,,,TCSE_1-50.pdf
S041Q03,41,hard,3,TC2,"The reclusive clergyman may have lived and died in melancholy, but this doesn’t seem to have (i)_____ his genius in any way. On the contrary, we find ourselves wondering whether his genius wasn’t (ii)_____ in some mysterious way by his mood.",influenced,hampered,triggered,served,controlled,identified,,,,B|D,B|D,,,TCSE_1-50.pdf
S041Q04,41,hard,4,TC2,"The museum’s compelling new architectural exhibition looks at eleven projects around the world that have had major (i)_____ impacts despite modest budgets. It is part of (ii)_____ in the museum’s architecture and design department, which in the past has championed architecture’s artistic value over its real-world consequences.",social,aesthetic,critical,an emphasis on theory,a shift in philosophy,a rejection of pragmatism,,,,A|E,A|E,,,TCSE_1-50.pdf
S041Q05,41,hard,5,TC3,"Even the reader acquainted with the outlines of Pushkin’s biography will be (i)_____ the (ii)_____ so vividly conveyed in Binyon’s biography. Not only was Pushkin’s personal correspondence intercepted and his movements (iii)_____, but Tsar Nicholas I’s decision to oversee Pushkin’s career obliged Pushkin to submit all his manuscripts for inspection.",attracted by,confused by,struck by,suffocating lack of creative,concern for contemporary,underlying sense of,ignored freedom,monitored society,commended historical change,C|D|H,C|D|H,,,TCSE_1-50.pdf
S041Q06,41,hard,6,TC3,"The notion of film producers as the ogres of the movie business has proved an (i)_____ one, but according to The Producers by Tim Adler, it is not always grounded in reality. Attacking what he calls the “auteur myth”—the idea of the director as the single purveyor of art in an industry otherwise peopled with (ii)_____—he places at the heart of his book an image of the producer, not the director, as the primary (iii)_____ force in the development and production of a movie.",accurate,hypocritic,enduring,visionaries,profitmongers,innocents,financial,inertial,creative,C|E|I,C|E|I,,,TCSE_1-50.pdf
S041Q07,41,hard,7,SE,"Her attempts to wrest fiction free from traditional constraints like plot and character were never entirely popular with readers; nonetheless, her fiction has had _____ influence on critical theory, novel, cinema, and even psychology.",a studied,a negligible,a decisive,an unmistakable,an insignificant,a restorative,,,,C|D,C|D,,,TCSE_1-50.pdf
S041Q08,41,hard,8,SE,"The physics graveyard is strewn with the skeletons of failed theories, unexplained effects, and anomalous particles that briefly _____ the research spotlight, then rapidly fade from view.",douse,intensify,perpetuate,capture,extinguish,secure,,,,D|F,D|F,,,TCSE_1-50.pdf
S041Q09,41,hard,9,SE,The media have constantly disparaged the governor’s competence and have found a public only too eager to applaud their _____.,assiduousness,stupefaction,mockery,incredulity,certitude,derision,,,,C|F,C|F,,,TCSE_1-50.pdf
S041Q10,41,hard,10,SE,"Science is arguably a very high-minded pursuit, but that is not to say that all of its practitioners are _____, as numerous articles alleging overly generous pharmaceutical industry payments to medical researchers have tried to show.",conventional,clever,unimpeachable,ingenious,blameless,predictable,,,,C|E,C|E,,,TCSE_1-50.pdf
S042Q01,42,hard,1,TC1,"Some ethicists worry that a deeper understanding of the brain may be tantamount to _____; if we discover that free will is an illusion of neural circuitry, how will we hold people responsible for their actions?",vindication,proscription,ministration,valediction,exculpation,,,,,E,E,,,TCSE_1-50.pdf
S042Q02,42,hard,2,TC1,"Instead of demonstrating the _____ of archaeological applications of electronic remote sensing, the pioneering study became, to some skeptics, an illustration of the imprudence of interpreting sites based on virtual archaeology.",ubiquity,limitation,promise,redundancy,complexity,,,,,C,C,,,TCSE_1-50.pdf
S042Q03,42,hard,3,TC2,"Partly because of Lee’s skill at synthesizing (i)_____ trends drawn from many fields of study, her theories appeared to present, with uncanny aptness, ideas already (ii)_____ in the minds of her contemporaries.",superseded,irrelevant,emergent,discredited,well established,half-formulated,,,,C|F,C|F,,,TCSE_1-50.pdf
S042Q04,42,hard,4,TC2,"Recent scholarship has questioned the (i)_____ of tropical forests around the world. Archaeologists have shown, for example, that the largest contiguous tract of what was thought to be virgin rain forest in the southern Amazon had been transformed into a cultural parkland before European contact, and many of the forest islands in West Africa’s savanna forest transition zone are (ii)_____ as well.",diversity,naturalness,sustainability,isolated,endangered,anthropogenic,,,,B|F,B|F,,,TCSE_1-50.pdf
S042Q05,42,hard,5,TC3,"Viewing people as ‘’social atoms’’ that obey rather simple rule (which are not unlike the laws of physics), one may discover certain (i)_____. Take, for example, the way channels emerge when people move in crowds. In the midst of initially (ii)_____ movements, one person begins to follow another—in an effort to avoid collisions—and streams of movement emerge. As more people join in, there is greater pull on others to join the flow, and the particular channels become (iii)_____.",apparent contradictions,unproductive tendencies,lawlike regulations,inflexible,straightforward,chaotic,self-defeating,self-aggrandizing,self-perpetuating,C|F|I,C|F|I,,,TCSE_1-50.pdf
S042Q06,42,hard,6,TC3,"Fifty pages of footnotes, some of them presenting quite lengthy bibliographies, suggest that very few pertinent sources on the Black Arts movement in literature have (i)_____ Thompson’s search; (ii)_____, the text makes it clear that the author’s examination of these sources has been similarly (iii)_____.",eluded,characterized,motivated,moreover,however,consequently,valuable,timely,exhaustive,A|D|I,A|D|I,,,TCSE_1-50.pdf
S042Q07,42,hard,7,SE,"The town’s air was consistently _____: depending on the breeze, one might be greeted with the sour effluvia of twenty breweries, choking fumes from the coal factory, or brackish smells from the nearby river.",malodorous,toxic,redolent,benign,noisome,anodyne,,,,A|E,A|E,,,TCSE_1-50.pdf
S042Q08,42,hard,8,SE,One of the vocalists who auditioned for a leading part in the local production of Sweeney Todd seemed to prefer _____ to any attempt at producing a melody; a more unpleasant voice was hard to imagine.,warbling,imitating,improvising,shrieking,crooning,caterwauling,,,,D|F,D|F,,,TCSE_1-50.pdf
S042Q09,42,hard,9,SE,Some experts estimate that the recreational salmon fishery in British Columbia contributes more to the province’s economy than the commercial salmon fishery does—a surprising statistic given the political commercial _____ of the fishery in the province.,naïveté,prominence,supremacy,ingenuousness,salience,resurgence,,,,B|E,B|E,,,TCSE_1-50.pdf
S042Q10,42,hard,10,SE,"In 1884, Sewall and Dow agreed to join Roosevelt in the Dakota territory for reasons that appear to have been _____: Sewell later recalled that Roosevelt guaranteed them a share of anything made in his cattle business.",pecuniary,straightforward,economic,selfless,quixotic,altruistic,,,,A|C,A|C,,,TCSE_1-50.pdf
S043Q01,43,hard,1,TC1,"Of all her works, this play is the most dependent on the dramatic conventions of the author’s day: it was both the least _____ of her plays and the most commercially successful.",experimental,popular,formulaic,lucrative,contemporary,,,,,A,A,,,TCSE_1-50.pdf
S043Q02,43,hard,2,TC1,"Carmen’s affection for her sister, though not _____, was plainly too great to permit a painless departure.",unsteady,ambivalent,careless,unbounded,noticeable,,,,,D,D,,,TCSE_1-50.pdf
S043Q03,43,hard,3,TC2,"It can be (i)_____ to read Margaret Fuller’s travel writing, as she produced accounts of her travel that (ii)_____ conventions of bourgeois travel narrative, often capitulating to the most well-worn clichés of the genre at precisely the moments when she sought most energetically to cast them off in favor of some new, more passionate mode of discernment.",frustrating,enlightening,exciting,challenged,conformed to,established,,,,A|E,A|E,,,TCSE_1-50.pdf
S043Q04,43,hard,4,TC2,"So, perhaps the lesson is that rather than wanting their monarchy to (i)_____ its modernized Scandinavian counterparts, the British public cherishes it most when it is most (ii)_____.",commend,discount,emulate,egalitarian,anachronistic,regal,,,,C|E,C|E,,,TCSE_1-50.pdf
S043Q05,43,hard,5,TC3,"Unquestionably, the particular forms that folly and cruelty take in Jane Austen’s novels are (i)_____ the character’s social milieu, which was also Austen’s own; but to realize that one’s society motivates people in unfortunate ways is not necessarily to (ii)_____ it, for the alternatives, though different, might be no more (iii)_____.",shaped by,removed from,unrecognizable in,expose,condemn,rationalize,salutary,corrosive,realistic,A|E|G,A|E|G,,,TCSE_1-50.pdf
S043Q06,43,hard,6,TC3,"While some commentators suggest that abstraction and complexity in scientific research are signs that a given direction is misguided, Lisa Randall, a professor of physics at Harvard, counters that these qualities instead reflect the success of human ingenuity in (i)_____ the increasingly (ii)_____ challenges that nature presents. They can, however, make it more (iii)_____ to communicate scientific developments, even to colleague.",creating,meeting,eschewing,difficult,conspicuous,pragmatic,challenging,unproductive,advantageous,B|D|G,B|D|G,,,TCSE_1-50.pdf
S043Q07,43,hard,7,SE,"Because movie studios, under pressure to generate international sales, have favored big-budget pictures with fantasy plots, the representation of everyday domestic life has largely been _____ other media, such as television and literature.",left to,ceded to,ascribed to,attributed to,substituted for,replaced with,,,,A|B,A|B,,,TCSE_1-50.pdf
S043Q08,43,hard,8,SE,"In order to cultivate new repertoire, the music industry is providing a hearing for previously _____ composers.",idle,thwarted,celebrated,renowned,anonymous,obscure,,,,E|F,E|F,,,TCSE_1-50.pdf
S043Q09,43,hard,9,SE,It’s hardly _____ the committee calls for: rudimentary competence would be an improvement on the current chaos.,accountability,disarray,unruliness,faultlessness,loyalty,perfection,,,,D|F,D|F,,,TCSE_1-50.pdf
S043Q10,43,hard,10,SE,"Contrary to certain recent analyses that paint a dire portrait of soil loss from farmland, a new study of surveying data reaching back to the 1930s shows that erosion rates have been steadily _____.",intensifying,waning,accelerating,worsening,declining,deteriorating,,,,B|E,B|E,,,TCSE_1-50.pdf
S044Q01,44,hard,1,TC1,"The science of astronomy was begun by amateurs and today remains dependent on their contributions, which are incisive by virtue of being _____ by the a priori assumptions that often vitiate the work of professional research scientists.",characterized,unencumbered,supported,contradicted,inspired,,,,,B,B,,,TCSE_1-50.pdf
S044Q02,44,hard,2,TC1,"Without seeming unworldly, William James appeared wholly removed from the _____ of society, the conventionality of academy.",ethos,idealism,romance,paradoxes,commonplaces,,,,,E,E,,,TCSE_1-50.pdf
S044Q03,44,hard,3,TC2,"The (i)_____ to disseminate the vast scientific knowledge of our time to nonscientists shows real (ii)_____ the extent of achievements humanity is capable of, like allowing a great work of art to molder in a warehouse.",failure,plan,willingness,pretentious regarding,sympathy toward,indifference to,,,,A|F,A|F,,,TCSE_1-50.pdf
S044Q04,44,hard,4,TC2,"Unlike the elected branches of the United States government, where making personal connection with citizens is (i)_____ and almost (ii)_____ political efficacy, the United States Supreme Court continues to maintain that its members should communicate with the public almost exclusively through formal opinions—and even then through ceremonial rituals that date back to the nineteenth century.",frowned upon,rampant,disregarded,a requirement for,a detriment to,an irrelevance to,,,,B|D,B|D,,,TCSE_1-50.pdf
S044Q05,44,hard,5,TC3,"A transformative scientific idea that emerged in the eighteenth century was the realization that slow, inexorable geological processes follow the basic laws of physics and chemistry. This seems (i)_____ conclusion in hindsight, but its implication—that geological processes in the distant past must have (ii)_____ these very same laws—was (iii)_____ geologists in the eighteenth and nineteenth centuries.",an obvious,a significant,a controversial,followed,preceded,entailed,evident to,overlooked by,revolutionary for,A|D|I,A|D|I,,,TCSE_1-50.pdf
S044Q06,44,hard,6,TC3,"It is possible for human to go 40 or more hours without sleep and still be able to (i)_____ information acquired at the beginning of the sleepless period. Thus, when we are considering a role for sleep in human memory consolidation, we are referring to a possible role in the (ii)_____ encoding of information and optimizing of recall, not a (iii)_____ of sleep for recalling events of the prior day.",legitimize,augment,disgorge,longer-term,acute,qualitative,requirement,surplus,facet,C|D|G,C|D|G,,,TCSE_1-50.pdf
S044Q07,44,hard,7,SE,"Communicating articulately is typically regarded as an aggressive, persuasive talent, but it can also be protective: it allows a certain _____ closeness, conveying proximity while actually maintaining distance.",feigned,secretive,dubious,subtle,false,furtive,,,,A|E,A|E,,,TCSE_1-50.pdf
S044Q08,44,hard,8,SE,"The Chavez Pass archaeological site was initially interpreted as indicative of _____ society, since it was thought to have been at the center of a cluster of smaller, contemporary settlements that it presumably controlled.",an expansionist,a hierarchical,an urban,a heterogeneous,a diverse,a stratified,,,,B|F,B|F,,,TCSE_1-50.pdf
S044Q09,44,hard,9,SE,"Although the essayist’s arguments did not _____ her most perceptive readers, the extreme subtlety of the paints she made explains why she was misinterpreted by most critics of her day.",convince,confound,entertain,persuade,perplex,enlighten,,,,B|E,B|E,,,TCSE_1-50.pdf
S044Q10,44,hard,10,SE,"Architects may be more extroverted and therefore the more _____ members of a bridge design team, but they are not always the most essential.",indispensable,conscientious,reliable,visible,valuable,salient,,,,D|F,D|F,,,TCSE_1-50.pdf
S045Q01,45,hard,1,TC1,The maps in this volume are meant not as guides but as _____: they are designed to make the reader think anew about the city.,adornments,references,truisms,provocations,valedictions,,,,,D,D,,,TCSE_1-50.pdf
S045Q02,45,hard,2,TC1,"Carmen’s affection for her sister, though not _____, was plainly too great to permit a painless departure.",unsteady,ambivalent,careless,unbounded,noticeable,,,,,D,D,,,TCSE_1-50.pdf
S045Q03,45,hard,3,TC2,"Argument may be an overly (i)_____ word to apply to the gossamer contrivance that is A Summer of Humming birds. In what seems a self-conscious (ii)_____ of its mascot the book flits from one subject or moment in history to another, following the various whims of its author.",archaic,imprecise,robust,repudiation,emulation,misrepresentation,,,,C|E,C|E,,,TCSE_1-50.pdf
S045Q04,45,hard,4,TC2,"The contemporary trend whereby fashion designers flout mainstream tradition is unique only in its (i)_____; earlier fashion designers experience the same (ii)_____ impulse, albeit in a less extreme form.",subversiveness,intensity,culpability,indiscriminate,iconoclastic,temperate,,,,B|E,B|E,,,TCSE_1-50.pdf
S045Q05,45,hard,5,TC3,"Behavior economists found that the more (i)_____ options listed on the insurance make people all the more offish to endorse, partly because they hope to (ii)_____ some (iii)_____ in order to get a measure of peace of mind.",lucrative,monotonous,complicated,forgo,dampen,jockey,convolution,detriment,benefit,C|D|I,C|D|I,,,TCSE_1-50.pdf
S045Q06,45,hard,6,TC3,"The slow pace of job creation was without precedent for the period of recovery from a recession, but the conditions that conspired to cause the recession were also (i)_____. The stock market declined sharply, and rampant business investment slumped. Then an ensuing spate of scandals (ii)_____ public trust in the way companies were run. And yet, despite these powerful (iii)_____ to growth, the recession proved surprisingly mild.",heartening,atypical,ambiguous,weakened,illuminated,consolidated,counterforces,stimulants,concomitants,B|D|G,B|D|G,,,TCSE_1-50.pdf
S045Q07,45,hard,7,SE,"Citing the corruption and intrigue that pervaded politics in the city, my colleague _____ the newspaper’s trove of journalism prizes, declaring that finding great stories in the city must be effortless.",slighted,ignored,lauded,disparaged,confounded,commended,,,,A|D,A|D,,,TCSE_1-50.pdf
S045Q08,45,hard,8,SE,"When studying the ancient Greek astronomers, Copernicus realized that despite the intrinsic beauty of many of their arguments, the ancients often made claims that _____ logic.",refuted,questioned,influenced,swayed,defied,disregarded,,,,E|F,E|F,,,TCSE_1-50.pdf
S045Q09,45,hard,9,SE,"Films that critics have slumbered through rarely generate industry excitement, even though the critics’ _____ reception may be less the fault of the movie than of its unfortunate time slot near a fatiguing film festival’s conclusion.",somnolent,impartial,lethargic,laconic,befuddled,evenhanded,,,,A|C,A|C,,,TCSE_1-50.pdf
S045Q10,45,hard,10,SE,"Even though his opponent is currently trying to portray him as a wild-eyed radical, voters will likely reject this charge because it does not _____ his moderate political record.",defer to,conform to,accede to,argue with,meddle with,square with,,,,B|F,B|F,,,TCSE_1-50.pdf
S046Q01,46,hard,1,TC1,"Neuroscientists are excited by technological progress that facilitates brain mapping, the most _____ of them comparing their growing abilities to tremendous advances that led to unimaginable success of the Human Genome Project.",rigorous,sanguine,punctilious,unorthodox,sophisticated,,,,,B,B,,,TCSE_1-50.pdf
S046Q02,46,hard,2,TC1,It seems foolish to refuse the offer of an expedient that is both so _____ success and so difficult to create them absent.,reminiscent of,lacking in,distinct from,indispensable to,inimical to,,,,,D,D,,,TCSE_1-50.pdf
S046Q03,46,hard,3,TC2,"The genius of the scientific method is that it (i)_____ the dictum of Aristotle that the goal of science is knowledge of the ultimate cause of things. True science, we now know, advances human knowledge by (ii)_____ ultimate causes and focusing instead on the testing of empirical hypotheses.",qualifies,jettisons,affirms,ignoring,predicting,confirming,,,,B|D,B|D,,,TCSE_1-50.pdf
S046Q04,46,hard,4,TC2,"For decades, economic ideas have been (i)_____ political purpose. Economists, for example, have peddled their theories as a way of gaining public prominence or political appointment, while politicians have (ii)_____ economic doctrines as possible solutions to the nation’s social problems.",undermined by,inspired by,exploited for,rejected,ignored,promoted,,,,B|F,B|F,,,TCSE_1-50.pdf
S046Q05,46,hard,5,TC3,"Several studies (i)_____ the assumption that paper cups, because they were made of natural products, were more environmentally (ii)_____ than cups made of plastic (polystyrene). Indeed, these studies indicated that the environmental (iii)_____ of producing and recycling paper cups were similar to, if not more than, those related to the production, disposal, and recycling of polystyrene cups.",corroborated,exploited,dispelled,friendly,hazardous,predictable,benefits,costs,opportunities,C|D|H,C|D|H,,,TCSE_1-50.pdf
S046Q06,46,hard,6,TC3,"For many years, Americans have had a love affair with ferryboats. Ferries are said to relieve our frayed nerves after we’ve stewed in bumper-to-bumper traffic, and conventional wisdom also says ferries (i)_____ congestion and air pollution by getting us out of cars. Unfortunately, this (ii)_____ notion recently has (iii)_____ several West Coast mayors, who have in consequence eagerly pursued the implementation of ferry service in their cities.",contribute to,reduce,cover up,provocative,misguided,cynical,captivated,confused,outraged,B|E|G,B|E|G,,,TCSE_1-50.pdf
S046Q07,46,hard,7,SE,"In noting that critical and popular opinions about Li’s art coincided, Chuang _____ the existence of an exception to her general theory of art criticism, which posits that critics’ views do not intersect with those of the general public.",asserted,conceded,acknowledged,doubted,pondered,questioned,,,,B|C,B|C,,,TCSE_1-50.pdf
S046Q08,46,hard,8,SE,"Excessive focus on what might have been can cause in us feelings of restlessness and regret, but some scientists are beginning to think that fancying an alternative reality might have _____ effects as well.",subtle,adverse,restorative,pleasurable,unfavorable,tonic,,,,C|F,C|F,,,TCSE_1-50.pdf
S046Q09,46,hard,9,SE,"As a historical genre, biography is best when _____, a careful reconstruction of the past in all its unfamiliar particularity.",introspective,reflective,concrete,concise,meticulous,thorough,,,,E|F,E|F,,,TCSE_1-50.pdf
S046Q10,46,hard,10,SE,Explorers could not build each other’s knowledge if they could not trust records of previous explorers; thus exploration depended on the _____ of those who had gone before.,collegiality,endurance,exactitude,meticulousness,eminence,tenacity,,,,C|D,C|D,,,TCSE_1-50.pdf
S047Q01,47,hard,1,TC1,"The science community’s perennial lament over inadequate budgets has come to seem increasing _____, because government support for science and engineering has never been greater.",vital,hopeless,poignant,condescending,disingenuous,,,,,E,E,,,TCSE_1-50.pdf
S047Q02,47,hard,2,TC1,"In modern times, friendship has become a _____ relationship: a form of connection in terms of which all are understood and against which all are measured.",conciliatory,mercenary,paradigmatic,contentious,supplementary,,,,,C,C,,,TCSE_1-50.pdf
S047Q03,47,hard,3,TC2,"As he has matured as a scholar, Felmar has come to see the merit of qualification. His conclusions, which early in his career he (i)______, are now often (ii)______.",stated as absolutes,refused to reveal,backed up extensively,hedged,simplified,reiterated,,,,A|D,A|D,,,TCSE_1-50.pdf
S047Q04,47,hard,4,TC2,"Unlike the elected branches of the United States government, where making personal connection with citizens is (i)_____ and almost (ii)_____ political efficacy, the United States Supreme Court continues to maintain that its members should communicate with the public almost exclusively through formal opinions—and even then through ceremonial rituals that date back to the nineteenth century.",frowned upon,rampant,disregarded,a requirement for,a detriment to,an irrelevance to,,,,B|D,B|D,,,TCSE_1-50.pdf
S047Q05,47,hard,5,TC3,"Schechter is atypically (i)_____ the film version of Stephen King’s horror novel The shining because the qualities for which the majority of other critics have approved it (its artful camera work and so on) get in the way of narrative and render the story less, rather than more, (ii)_____ than other films of the same genre. This is not (iii)_____ view, and we must be grateful to Schechter for putting it forward.",unimpressed with,confused by,enamored of,heartbreaking,comical,terrifying,a commonplace,a superior,an unfamiliar,A|F|G,A|F|G,,,TCSE_1-50.pdf
S047Q06,47,hard,6,TC3,"Inuit print making is less (i)_____ than carving in that it does not have substantial historical precedents, although there are (ii)_____ incised carvings on bone or antler, facial tattoo marks or inlay skin work on clothing, mitts and footwear. Carving materials such as stone, bone, antler, wood, and ivory were (iii)_____, but paper and drawing tools were unknown until introduced by early explorers and missionaries.",traditional,prestigious,anomalous,affinities with,objections to,regulations about,available locally,rarely used,virtually interchangeable,A|D|G,A|D|G,,,TCSE_1-50.pdf
S047Q07,47,hard,7,SE,The _____ nature of the approval process for new drugs suggests that incentives to promote more expeditious decision making may be necessary.,pecuniary,commercial,arbitrary,sluggish,capricious,dilatory,,,,D|F,D|F,,,TCSE_1-50.pdf
S047Q08,47,hard,8,SE,"The critic claims that, contrary to its reputation for _____, the novelist’s prose is full of opaque language games.",scrupulousness,simplicity,mendacity,artlessness,polish,meticulousness,,,,B|D,B|D,,,TCSE_1-50.pdf
S047Q09,47,hard,9,SE,"Not only is the advent of bookless or largely bookless libraries too large and powerful a change to be _____, it also offers too many real advantages for it to be considered a tragedy.",understood,averted,foreseen,forestalled,endured,anticipated,,,,B|D,B|D,,,TCSE_1-50.pdf
S047Q10,47,hard,10,SE,"Her attempts to wrest fiction free from traditional constraints like plot and character were never entirely popular with readers; nonetheless, her fiction has had _____ influence on critical theory, novel, cinema, and even psychology.",a studied,a negligible,a decisive,an unmistakable,an insignificant,a restorative,,,,C|D,C|D,,,TCSE_1-50.pdf
S048Q01,48,hard,1,TC1,Even those observers who are the most _____ about genetic privacy issues would have to concede that genetic discrimination is rare: there have only been two cases of any notoriety.,sanguine,zealous,candid,objective,apathetic,,,,,B,B,,,TCSE_1-50.pdf
S048Q02,48,hard,2,TC1,"Many creative photographers were delighted to find in instant photography a mode that encouraged them to stop viewing photography as _____ and start viewing it as something they could handle with spontaneity, even derision.",sacrosanct,ephemeral,malleable,egalitarian,autonomous,,,,,A,A,,,TCSE_1-50.pdf
S048Q03,48,hard,3,TC2,"The description of humans as having an internal clock is not a (i)_____. Or rather, it is—you do not have a tiny watch in your cerebellum—but it also refers to (ii)_____, a specialized bundle of cells that regulates cyclical processes.",euphemism,cliché,metaphor,an elusive psychological phenomenon,a standard literary trope,a real biological feature,,,,C|F,C|F,,,TCSE_1-50.pdf
S048Q04,48,hard,4,TC2,"The author of this biography gives an accurate and (i)_____ account of the subject’s life story, but all the carefully assembled detail fails to compensate for the general lack of (ii)_____ in her writing.",exhaustive,glib,selective,specificity,veracity,vivacity,,,,C|F,C|F,,,TCSE_1-50.pdf
S048Q05,48,hard,5,TC3,"Firebaugh and Beck contend that economic development improves the overall well-being of people within developing countries. However, other scholars emphasize the (i)_____ of this view, empirically demonstrating that while economic development does in fact contribute to the well- being of the population of developing countries, the magnitude of development’s positive effects on well-being has (ii)_____. In other words, these scholars suggest that (iii)_____ economic development and human well-being is taking place in developing countries.",falsity,arbitrariness,limitation,been greatly,not yet been measured,decreased over time,a decoupling of underestimated,an inversion of,a decline in,C|F|G,C|F|G,,,TCSE_1-50.pdf
S048Q06,48,hard,6,TC3,"Applications of the Endangered Species Act (ESA) have fared best in contexts in which habitat condition is closely linked to species condition and the cause of habitat degradation is easily identified. The achievements of the ESA in those contexts, however, have (i)_____ that other uses of the act can (ii)_____ that record even where such favorable conditions do not (iii)_____.",quelled the conviction,presaged the uncertainty,fostered the misconception,mitigate,duplicate,elucidate,vary,pertain,diminish,C|E|H,C|E|H,,,TCSE_1-50.pdf
S048Q07,48,hard,7,SE,Shifting Fortunes take a conventional approach to American union history by simply explaining the reasons behind union growth and decline in the nineteenth and twentieth centuries: it is a chronologically and thematically _____ study and nothing more.,complicated,confined,multifarious,onerous,circumscribed,taxing,,,,B|E,B|E,,,TCSE_1-50.pdf
S048Q08,48,hard,8,SE,A clever form of diplomacy involves subtly inducing the other party to propose your preference so that your _____ their requests appears as the granting of concession.,accession to,inattention to,subversion of,abnegation of,repudiation of,acquiescence to,,,,A|F,A|F,,,TCSE_1-50.pdf
S048Q09,48,hard,9,SE,"Scientist reported last month on a sign of relative solar _____; the solar wind, a rush of charged particles continually spewed from the Sun at a million miles an hour, had diminished to its lowest level in 50 years.",quiescence,turbulence,isolation,calm,remoteness,instability,,,,A|D,A|D,,,TCSE_1-50.pdf
S048Q10,48,hard,10,SE,"The author takes issue with the ideological blinders that have distorted much migration research, especially ____ modernization theorists and others for their untested assumptions of an immobile preindustrial past.",undermining,citing,castigating,chastising,endorsing,commending,,,,C|D,C|D,,,TCSE_1-50.pdf
S049Q01,49,hard,1,TC1,"In one theory, as people learn things throughout the day, connections between neurons get strengthened, but during sleep then all synapses are weakened, tenuous connections are _____ and only the strongest bonds could remain.",reinforced,reproduced,replaced,stimulated,severed,,,,,E,E,,,TCSE_1-50.pdf
S049Q02,49,hard,2,TC1,"While the writer was best known for her much-ballyhooed _____, her impact reached far beyond memorable quips.",pensiveness,drollness,stoicism,fastidiousness,congeniality,,,,,B,B,,,TCSE_1-50.pdf
S049Q03,49,hard,3,TC2,"Although she admitted that her airport expansion plan had recently collapsed, the governor (i)_____ the significance of the failure, pointing out that competing economic development proposals are now more (ii)_____.",minimized,touted,acknowledged,tenuous,complicated,important,,,,A|D,A|D,,,TCSE_1-50.pdf
S049Q04,49,hard,4,TC2,"The reclusive clergyman may have lived and died in melancholy, but this doesn’t seem to have (i)_____ his genius in any way. On the contrary, we find ourselves wondering whether his genius wasn’t (ii)_____ in some mysterious way by his mood.",influenced,hampered,triggered,served,controlled,identified,,,,B|D,B|D,,,TCSE_1-50.pdf
